no,tweet,label
1,"Peristiwa menarik sudah terjadi di DPD RI. Sebetulnya apa yg jadi sasaran tembaknya? Ya, UU MD3 !
#DPDRI #UUMD3 #DPD @DPDRI",0
2,#GaduhPolitik #UUMD3 VS #GBHN akan segera muncul pasca Rakernas PDIP  | Kayak iklan rokok... Ga Gaduh Ga Rame ,0
3,Partai Pemenang Rasa Pecundang karena #UUMD3 sampai2 Mereka Lupa kalau Sang RI1 yg Selalu mereka recokin adalah kader mereka #OposisiSejati,0
4,"""@didienAZHAR: PDIP Isyaratkan Tak Restui Pelantikan Pimpinan Baru DPR RI http://news.detik.com/berita/3114231 …"" hahahaha...masih dendam ya ??? #UUMD3",0
5,"Presiden dipilih langsung oleh rakyat, lalu DPR bisa melengserkan apa yang sudah dipilih oleh rakyat?
#UUMD3 #DPR",0
6,"Emmmm.. gemana buat uum3 kegitu, tp bisa di revisi pa ngak ya...? #UUMD3",1
7,".. Akankah #UUMD3 Direvisi utk Kocok Ulang Pimpinan DPR? http://detik.id/6Fo8Rgx  | SEHARUSNYA begitu, jika #DPR mau adil & benar",1
8,"Andai SN diberhentikan dari Ketua DPR, yang gantiin juga dari Golkar....#UUMD3",1
9, ganti pimpinan DPR #UUMD3 #SaveDPR #MKDpic.twitter.com/jzaKnsjtqv,0
10,"Sidang Putusan Sanksi Setya Novanto. Lawannnnn (Akbar Faisal)
#MKD #UUMD3 #saveDPR",0
11,Ketua DPR: Kenaikan Harga Beras Medium Harus Segera Dihentikan,1
12,#LilyWahid Ajuakan Judicial Review #UUMD3 ke #MK http://dlvr.it/36VQNm ,1
13,"PDIP Mendadak Lesu, Tak Yakin Revisi UU MD3 Bisa Gol #UUMD3 http://jpnn.co/486905 ",0
14,"#body #status Dewibet Jkt -  PKB: Kalau Mau Jujur, PDIP Berhak Jadi Pimpinan… http://dlvr.it/MrRtMm  #uumd3 #surabaya #TeamK #wanita #dewipic.twitter.com/p5waCucD4N",1
15,PDIP Minta Pimpinan DPR Segera Inisiasi Revisi UU MD3 #UUMD3 http://jpnn.co/484212 ,1
16,Safari @jokowi ke berbagai elemen disadari ato tdk disadari sbnrnya krn kesalahan @PDI_Perjuangan yg tdk bs menguasai ketua @DPR_RI .#UUMD3,0
17,"wkwkwk...@DPR_RI lucu...anggota independen, hayu ganti #uumd3 @Gerindra @Fraksi_PAN @FPPP_DPRRI @FPD_DPR @kompascomhttps://twitter.com/kompascom/status/740482015078682626 …",0
18,Cc @Fahrihamzah “@hafidz_ary: pimpinan DPR bs diberhentikan dg sebab ditarik / diberhentikan oleh partainya. #UUMD3 pic.twitter.com/0xCMqSCa6A”,0
